emp_no,first_name,last_name,title,from_date,to_date
11042,Gou,Breugel,Engineer,1993-06-21,2000-06-21
11042,Gou,Breugel,Senior Engineer,2000-06-21,9999-01-01
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01
11050,Elvis,Katiyar,Staff,1986-05-06,1991-05-06
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17
11085,Hailing,Thummel,Senior Engineer,1996-02-10,9999-01-01
11100,Berna,Cochrane,Senior Staff,1993-10-13,9999-01-01
11100,Berna,Cochrane,Staff,1986-10-13,1993-10-13
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,1991-08-31
11106,Aris,Iwayama,Engineer,1991-08-31,1997-08-30
11106,Aris,Iwayama,Senior Engineer,1997-08-30,9999-01-01
11110,Valeska,Birjandi,Staff,1987-11-14,1992-03-30
11112,Boaz,Mukaidono,Staff,1995-04-28,9999-01-01
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01
11113,Shahab,Peng,Staff,1985-11-30,1991-11-30
11121,Vugranam,Kakkad,Engineer,1992-10-31,1999-11-01
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,9999-01-01
11133,Nalini,Azulay,Technique Leader,1994-03-06,9999-01-01
11134,Sachar,Rajcani,Engineer,1993-05-19,2002-05-19
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,9999-01-01
11137,Hugh,Luca,Engineer,1995-03-16,9999-01-01
11139,Bogdan,Homond,Senior Staff,1995-05-11,9999-01-01
11139,Bogdan,Homond,Staff,1990-05-11,1995-05-11
11146,Ishfaq,Masand,Senior Staff,1997-08-21,9999-01-01
11146,Ishfaq,Masand,Staff,1991-08-22,1997-08-21
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01
11148,Zhanqiu,Botman,Staff,1990-02-08,1997-02-08
11162,Kauko,Narlikar,Engineer,1985-03-28,1990-03-28
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,9999-01-01
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15
11203,Sakthirel,Yetto,Staff,1988-01-06,1996-01-06
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01
11207,Saeed,Gips,Engineer,1999-01-31,9999-01-01
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,9999-01-01
11232,Hidefumi,Crelier,Senior Staff,2000-08-01,9999-01-01
11232,Hidefumi,Crelier,Staff,1994-08-02,2000-08-01
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,1997-01-06
11240,Kiam,Condotta,Engineer,1997-01-06,9999-01-01
11249,Randi,Cyre,Assistant Engineer,1986-09-22,1994-09-22
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01
11251,Bezalel,Chinal,Senior Staff,1993-06-15,9999-01-01
11251,Bezalel,Chinal,Staff,1986-06-15,1993-06-15
11268,Aimee,Petersohn,Engineer,1987-10-25,1995-10-25
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01
11275,Hitomi,Eppinger,Engineer,1989-04-25,1998-04-25
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25,9999-01-01
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,1990-05-15
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,9999-01-01
11320,Atilio,McAlpine,Senior Staff,1998-04-06,9999-01-01
11320,Atilio,McAlpine,Staff,1990-04-06,1998-04-06
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07
11322,Nathalie,Pocchiola,Engineer,1992-07-07,1999-07-08
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,9999-01-01
11339,Flemming,Massonet,Senior Engineer,1989-12-19,9999-01-01
11347,Anneli,Jonsson,Engineer,1986-04-20,1992-04-19
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,9999-01-01
11365,Toshimi,Shinomoto,Engineer,1997-12-18,9999-01-01
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01
11376,Valery,Suomi,Staff,1986-03-14,1994-03-14
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18
11380,Kenroku,Pelc,Engineer,1996-04-18,2001-04-18
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01
11386,Alselm,Assaf,Engineer,1987-11-30,1993-11-29
11386,Alselm,Assaf,Senior Engineer,1993-11-29,9999-01-01
11393,Junsik,Junot,Engineer,1985-04-30,1992-04-30
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01
11398,Oscar,Peir,Senior Staff,2001-09-07,9999-01-01
11398,Oscar,Peir,Staff,1994-09-07,2001-09-07
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,9999-01-01
11415,Sanjiv,Anido,Engineer,1996-12-07,9999-01-01
11421,Josyula,Msuda,Engineer,1986-09-02,1995-09-02
11421,Josyula,Msuda,Senior Engineer,1995-09-02,9999-01-01
11431,Youngkon,Picht,Senior Staff,1991-09-16,2001-03-03
11431,Youngkon,Picht,Staff,1985-09-16,1991-09-16
11441,Marlo,Aingworth,Senior Staff,1987-03-27,9999-01-01
11449,Kotesh,Asser,Engineer,1995-02-03,2000-02-03
11449,Kotesh,Asser,Senior Engineer,2000-02-03,9999-01-01
11459,Duke,Suomi,Senior Staff,1992-05-02,9999-01-01
11459,Duke,Suomi,Staff,1986-05-03,1992-05-02
11461,Kish,Cronau,Engineer,1986-08-19,1992-08-18
11461,Kish,Cronau,Senior Engineer,1992-08-18,1997-07-20
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01
11477,Fox,Narahari,Engineer,1996-07-28,1996-09-12
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20
11501,Karsten,Ranum,Staff,1991-10-24,1999-10-24
11506,Rance,Picel,Staff,1996-04-08,9999-01-01
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,1992-11-11
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,9999-01-01
11513,Otmar,Mahnke,Senior Staff,1998-08-25,9999-01-01
11513,Otmar,Mahnke,Staff,1992-08-25,1998-08-25
11515,Ulf,Basawa,Staff,1998-09-21,9999-01-01
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01
11518,Jinxi,Oxman,Staff,1994-09-22,1999-09-22
11524,Xiadong,Standera,Senior Engineer,1996-07-05,9999-01-01
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01
11528,Zito,Dolinsky,Technique Leader,1987-06-15,9999-01-01
11537,DAIDA,Pehl,Senior Staff,1986-07-06,9999-01-01
11554,Subhash,Taubenfeld,Staff,1998-07-15,9999-01-01
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14,9999-01-01
11555,Kotesh,Perfilyeva,Staff,1986-10-14,1991-10-14
11562,Rimli,Alencar,Engineer,1988-06-30,1994-12-13
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,9999-01-01
11567,Teiji,Mitzlaff,Staff,1988-02-03,1996-02-03
11568,Martins,Fujisaki,Engineer,1992-03-13,2000-03-13
11568,Martins,Fujisaki,Senior Engineer,2000-03-13,9999-01-01
11578,Edwin,Rosti,Engineer,1985-11-22,1991-11-22
11578,Edwin,Rosti,Senior Engineer,1991-11-22,2002-02-17
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01
11603,Herb,Swen,Staff,1985-04-13,1994-04-13
11607,Tomokazu,Foong,Engineer,1995-04-19,9999-01-01
11615,Shem,Isaak,Senior Staff,2000-08-28,9999-01-01
11615,Shem,Isaak,Staff,1991-08-29,2000-08-28
11624,Adil,Gammage,Engineer,1989-07-15,1996-07-15
11624,Adil,Gammage,Senior Engineer,1996-07-15,9999-01-01
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01
11640,Valeri,Coorg,Senior Engineer,1988-09-26,9999-01-01
11647,Magy,Nitsche,Engineer,1988-05-11,1993-05-11
11647,Magy,Nitsche,Senior Engineer,1993-05-11,9999-01-01
11660,Gill,Stenning,Senior Staff,1994-11-22,9999-01-01
11660,Gill,Stenning,Staff,1986-11-22,1994-11-22
11673,Henk,Felder,Technique Leader,1989-06-10,9999-01-01
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01
11684,Oksana,Gide,Senior Staff,1995-02-21,9999-01-01
11684,Oksana,Gide,Staff,1986-02-21,1995-02-21
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01
11696,Dante,Rothe,Staff,1985-10-23,1994-10-23
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,1994-06-30
11705,Arve,Hofmeyr,Staff,1985-10-30,1990-10-30
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,9999-01-01
11735,Amalendu,Picci,Senior Staff,1997-07-14,9999-01-01
11735,Amalendu,Picci,Staff,1988-07-14,1997-07-14
11738,Tadahiro,Lichtman,Engineer,1986-06-19,1992-06-18
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18,1995-06-27
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01
11746,Koichi,Marrakchi,Staff,1988-11-17,1995-11-18
11747,Aksel,Kossowski,Senior Staff,1993-02-20,1999-01-16
11747,Aksel,Kossowski,Staff,1986-02-20,1993-02-20
11751,Jiafu,Emiris,Senior Staff,1993-11-03,9999-01-01
11751,Jiafu,Emiris,Staff,1988-11-03,1993-11-03
11764,Sanjay,Anick,Engineer,1991-12-16,1996-12-15
11764,Sanjay,Anick,Senior Engineer,1996-12-15,9999-01-01
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,9999-01-01
11769,Chandrasekaran,Lampe,Staff,1993-10-22,2001-10-22
11772,Gaurav,Penz,Engineer,1999-11-07,9999-01-01
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,9999-01-01
11797,Chenxi,Thambidurai,Staff,1988-08-30,1996-08-30
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11817,Niranjan,Markovitch,Senior Staff,1993-04-12,9999-01-01
11817,Niranjan,Markovitch,Staff,1986-04-12,1993-04-12
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01
11838,Taiji,Nitta,Staff,1986-07-11,1991-05-09
11844,Shawna,Demeyer,Engineer,1988-01-27,1995-01-27
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01
11853,Zeljko,Kusakabe,Staff,1988-11-17,1996-11-17
11857,Divier,Farrag,Senior Staff,1986-08-27,9999-01-01
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01
11871,Nalini,Sommen,Engineer,1993-10-13,1998-10-13
11871,Nalini,Sommen,Senior Engineer,1998-10-13,9999-01-01
11872,Cheong,Riexinger,Senior Staff,2002-02-12,9999-01-01
11872,Cheong,Riexinger,Staff,1994-02-12,2002-02-12
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28
11894,Mitchel,Validov,Senior Engineer,1988-06-22,9999-01-01
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,9999-01-01
11897,Cordelia,Setlzner,Staff,1988-06-16,1997-06-16
11906,Hideo,Boguraev,Engineer,1999-02-07,9999-01-01
11915,Miomir,Mawatari,Engineer,1992-06-28,2001-06-28
11915,Miomir,Mawatari,Senior Engineer,2001-06-28,9999-01-01
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,9999-01-01
11931,Gunilla,Chiodo,Staff,1991-01-13,2000-01-13
11933,Basil,Erman,Engineer,1987-06-13,1992-06-12
11933,Basil,Erman,Senior Engineer,1992-06-12,9999-01-01
11949,Martijn,Harbusch,Technique Leader,1985-03-11,9999-01-01
11983,Jaana,Hedayat,Engineer,1986-10-11,1994-10-11
11983,Jaana,Hedayat,Senior Engineer,1994-10-11,9999-01-01
11987,Vidya,Schaar,Senior Staff,1994-10-17,1997-12-04
11987,Vidya,Schaar,Staff,1988-10-17,1994-10-17
